central,sf7,bw125,100.0%,-104.81,-1.23
nodo,sf7,bw125,100.0%,-104.16,-5.49
central,sf12,bw125,100.0%,-105.47,-1.03
nodo,sf12,bw125,100.0%,-110.59,-0.24
central,sf7,bw250,87.9%,-97.91,-7.46
nodo,sf7,bw250,86.07%,-103.75,-3.75
central,sf12,bw250,100.0%,-103.06,-5.09
nodo,sf12,bw250,100.0%,-108.76,-4.07
central,sf7,bw500,44.74%,-95.24,-8.91
nodo,sf7,bw500,74.77%,-102.38,-3.38
central,sf12,bw500,100.0%,-101.52,-12.65
nodo,sf12,bw500,100.0%,-106.04,-10.72
